Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude,location,point
Agincourt North,1008,"3,929","30,414",-79.2670669555129,43.8092994689717,"Agincourt North, Scarborough North, Scarborough, Toronto, Golden Horseshoe, Ontario, M1S 3Y7, Canada","(43.8080383, -79.2664391, 0.0)"
Agincourt South-Malvern West,1331,"3,034","31,825",-79.26940917961291,43.787349700971696,,
Alderwood,460,"2,435","47,709",-79.541160583413,43.604961395271395,"Alderwood, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8W 3T7, Canada","(43.6017173, -79.5452325, 0.0)"
Annex,2908,"10,863","112,766",-79.402801513613,43.6693611145715,"The Annex, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2E9, Canada","(43.6703377, -79.407117, 0.0)"
Banbury-Don Mills,938,"2,775","67,757",-79.34851837151301,43.740409851071604,"Banbury Road, The Bridle Path, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M3C 2E6, Canada","(43.7348039, -79.3572426, 0.0)"
Bathurst Manor,951,"3,377","45,936",-79.454772949213,43.763778686571705,"Bathurst, Bathurst Regional Council, New South Wales, 2795, Australia","(-33.4166378, 149.5804943, 0.0)"
Bay Street Corridor,3564,"14,097","56,526",-79.38617706291299,43.6577110290715,"corridor, Bay Street, North Jubilee, Victoria, Capital Regional District, British Columbia, V8R 2L1, Canada","(48.43262135, -123.327567032197, 0.0)"
Bayview Village,798,"4,195","52,035",-79.379570007313,43.7770996093717,"Bayview Village, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 1C3, Canada","(43.7691966, -79.3766617, 0.0)"
Bayview Woods-Steeles,428,"3,240","47,246",-79.382202148413,43.794849395771706,"Bayview Woods-Steeles, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2M 2Y1, Canada","(43.7981268, -79.3829726, 0.0)"
Bedford Park-Nortown,1135,"4,209","123,077",-79.424499511713,43.730659484871595,,
Beechborough-Greenbrook,615,"3,614","33,829",-79.478309631313,43.693111419671496,,
Bendale,2277,"4,011","33,256",-79.2573928833129,43.7596282958716,"Bendale, Scarborough, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1P 2S7, Canada","(43.7535196, -79.2553355, 0.0)"
Birchcliffe-Cliffside,1411,"3,765","54,360",-79.2646026611129,43.694721221971506,,
Black Creek,2006,"6,282","25,989",-79.52149963371299,43.766361236571704,"Black Creek, Town of Cicero, Outagamie County, Wisconsin, 54106, United States","(44.5195476, -88.3791735, 0.0)"
