Neighborhood,Total Crimes,Density,Average Income,Latitude,Longitude
Agincourt North,1008,"3,929","30,414",43.8092994689717,-79.2670669555129
Agincourt South-Malvern West,1331,"3,034","31,825",43.787349700971696,-79.26940917961291
Alderwood,460,"2,435","47,709",43.604961395271395,-79.541160583413
Annex,2908,"10,863","112,766",43.6693611145715,-79.402801513613
Banbury-Don Mills,938,"2,775","67,757",43.740409851071604,-79.34851837151301
Bathurst Manor,951,"3,377","45,936",43.763778686571705,-79.454772949213
Bay Street Corridor,3564,"14,097","56,526",43.6577110290715,-79.38617706291299
Bayview Village,798,"4,195","52,035",43.7770996093717,-79.379570007313
Bayview Woods-Steeles,428,"3,240","47,246",43.794849395771706,-79.382202148413
Bedford Park-Nortown,1135,"4,209","123,077",43.730659484871595,-79.424499511713
Beechborough-Greenbrook,615,"3,614","33,829",43.69311141967149,-79.478309631313
Bendale,2277,"4,011","33,256",43.7596282958716,-79.2573928833129
Birchcliffe-Cliffside,1411,"3,765","54,360",43.69472122197151,-79.2646026611129
Black Creek,2006,"6,282","25,989",43.76636123657169,-79.52149963371299
Blake-Jones,425,"8,134","48,511",43.676503000000004,-79.337374
Briar Hill-Belgravia,1117,"7,791","34,768",43.6985206671595,-79.451248168913
Bridle Path-Sunnybrook-York Mills,420,"1,040","308,010",43.72732162477161,-79.380813598613
Broadview North,299,"6,764","44,557",43.68936920171579,-79.354286193813
Brookhaven-Amesbury,829,"5,045","32,483",43.7003097534715,-79.484649658213
Caledonia-Fairbank,328,"6,464","35,112",43.6885681152715,-79.45482635413009
Casa Loma,457,"5,683","165,047",43.6807785034715,-79.409492492613
Centennial Scarborough,311,"2,479","54,045",43.77912139897169,-79.1472396850129
Church-Yonge Corridor,6301,"23,044","53,583",43.660240173715295,-79.378677368113
Clairlea-Birchmount,2163,"3,632","36,232",43.71598815971622,-79.28369903561291
Clanton Park,735,"3,979","51,181",43.748217,-79.446344
Cliffcrest,1014,"2,273","44,718",43.7264213562716,-79.2329711914129
Corso Italia-Davenport,818,"7,478","41,717",43.6769905090715,-79.450378417913
Danforth,1191,"8,554","55,225",43.6486892707151,-79.385437011713
Danforth East York,464,"7,881","51,846",43.6907158290841,-79.29012990953879
Don Valley Village,1285,"6,441","37,379",43.7855186467173,-79.350166320813
Dorset Park,1756,"4,146","31,692",43.755329132716795,-79.27745819091291
Dovercourt-Wallace Emerson-Junction,2450,"9,819","39,740",43.6660385131715,-79.43686676021301
Downsview-Roding-CFB,2974,"2,337","34,168",43.7289199827164,-79.49136352531299
Dufferin Grove,602,"8,540","40,588",43.6551399230715,-79.437309265113
East End-Danforth,1691,"8,038","54,324",43.684150695871494,-79.2991104125129
Edenbridge-Humber Valley,473,"2,840","101,551",43.6699104309715,-79.521263122513
Eglinton East,1804,"7,051","30,033",43.739622,-79.23229040000001
Elms-Old Rexdale,581,"3,306","32,012",43.724288940716285,-79.549560546813
Englemount-Lawrence,873,"6,466","48,134",43.7219200134716,-79.438117980913
Eringate-Centennial-West Deane,676,"2,171","47,002",43.661911010771504,-79.577377319313
Etobicoke West Mall,450,"6,582","38,255",43.6444511413715,-79.56771850581299
Flemingdon Park,1001,"9,026","28,654",43.7163085937162,-79.33171081512991
Forest Hill North,568,"8,054","85,099",43.7052192687716,-79.427452087413
Forest Hill South,360,"4,380","204,521",43.6943092346715,-79.41609954813009
Glenfield-Jane Heights,1981,"5,864","27,984",43.7467498777167,-79.515037536613
Greenwood-Coxwell,885,"8,582","46,206",43.6719512939715,-79.3234329223129
Guildwood,402,"2,673","53,203",43.7552251,-79.1982293
Henry Farm,472,"6,047","36,359",43.7723007202717,-79.3408737182129
High Park North,1057,"11,726","57,465",43.6576690673715,-79.464576721113
High Park-Swansea,647,"4,893","71,204",43.647041320871494,-79.47113800041299
Highland Creek,816,"2,403","40,972",43.789478302071714,-79.17613983151291
Hillcrest Village,687,"3,148","40,442",43.8030281066717,-79.353462219213
Humber Heights-Westmount,521,"3,981","45,615",43.6940193176715,-79.521263122513
Humber Summit,1590,"1,570","30,731",43.7601585388716,-79.558486938413
Humbermede,968,"3,565","29,528",43.7428398132716,-79.537460327113
Humewood-Cedarvale,371,"7,682","65,274",43.6894187927715,-79.426979064913
Ionview,804,"7,031","31,383",43.7362899780716,-79.2732009881298
Islington-City Centre West,2589,"2,712","52,787",43.63608169557139,-79.542961120613
Junction Area,1043,"5,442","49,709",43.6690711977154,-79.472030639613
Keelesdale-Eglinton West,503,"6,467","33,316",43.6856918334715,-79.46927642821299
Kennedy Park,1577,"4,770","30,974",43.7258682250716,-79.2623214721129
Kensington-Chinatown,3263,"11,806","37,422",43.6533088684715,-79.396339416513
Kingsview Village-The Westway,1116,"4,356","36,674",43.699440002471505,-79.549240112313
Kingsway South,454,"3,593","144,642",43.6543312072715,-79.511123657213
L'Amoreaux,1570,"6,144","31,826",43.79726028447169,-79.31220245361291
Lambton Baby Point,193,"4,697","76,629",43.65932083127149,-79.49751281731301
Lansing-Westgate,643,"3,038","72,371",43.754631042716795,-79.424201965313
Lawrence Park North,445,"6,407","111,730",43.72829818727161,-79.40641784613001
Lawrence Park South,468,"4,685","169,203",43.718528747571604,-79.405738830513
Leaside-Bennington,507,"3,596","125,564",43.700710296671495,-79.367576599113
Little Portugal,703,"12,859","45,737",43.6474800109715,-79.4290313721301
Long Branch,557,"4,584","47,384",43.593528747571405,-79.532722473113
Malvern,2024,"4,948","29,573",43.80976867677171,-79.2208404541129
Maple Leaf,459,"4,012","37,108",43.7146186828716,-79.479782104413
Markland Wood,293,"3,614","62,378",43.6339111328714,-79.569480895913
Milliken,1414,"2,830","28,085",43.8227996826717,-79.27693939212979
Morningside,871,"3,041","32,291",43.782550811771706,-79.2052307128129
Moss Park,3609,"14,753","58,915",43.655021667715204,-79.36799621513
Mount Dennis,870,"6,442","30,827",43.6890983581715,-79.4955215451302
Mount Olive-Silverstone-Jamestown,2257,"7,291","26,548",43.7472114562716,-79.588256835913
Mount Pleasant East,413,"5,411","85,340",43.705844,-79.382375
Mount Pleasant West,1235,"21,969","57,039",43.704685,-79.392987
New Toronto,841,"3,342","44,101",43.601428985571395,-79.509246826113
Newtonbrook East,1275,"3,926","45,212",43.79304122927171,-79.406951904213
Newtonbrook West,1078,"5,070","34,904",43.7881813049717,-79.431732177713
Niagara,1324,"10,156","70,623",43.636907,-79.408336
North Riverdale,514,"6,770","73,253",43.679473,-79.345235
O'Connor-Parkview,970,"3,780","43,907",43.70872116087161,-79.3067703247129
Oakridge,1427,"7,444","26,793",43.698829650871495,-79.2791213989129
Oakwood Village,788,"9,511","39,803",43.6888809207157,-79.439880371013
Old East York,600,"3,997","53,315",43.691494,-79.337409
Palmerston-Little Italy,788,"9,601","58,071",43.6595611572715,-79.419219970713
Parkwoods-Donalda,1377,"4,691","42,516",43.753471999999995,-79.32497
Pelmo Park-Humberlea,692,"2,547","39,003",43.7103500366716,-79.529266357413
Playter Estates-Danforth,709,"8,671","70,831",43.6801490783715,-79.355247497513
Pleasant View,421,"5,273","36,346",43.7881202697717,-79.3345336914129
Princess-Rosethorn,363,"2,138","99,055",43.6653099060715,-79.545608520513
Regent Park,980,"16,880","34,597",43.6606903076715,-79.360313415513
Rexdale-Kipling,694,"4,229","34,418",43.7243309071637,-79.567199707013
Rockcliffe-Smythe,1227,"4,414","34,059",43.6752815246715,-79.488647460913
Roncesvalles,1416,"9,851","50,580",43.6442718505715,-79.442687988213
Rosedale-Moore Park,1628,"4,500","207,903",43.6819114685715,-79.379371643013
Rouge,1940,"1,260","39,556",43.8076591497177,-79.17404937741291
Runnymede-Bloor West Village,535,"6,333","71,888",43.66246032717149,-79.486686706513
Rustic,712,"4,734","31,800",43.71249008177161,-79.49723052971302
Scarborough Village,1241,"5,395","32,913",43.7385215759716,-79.21691894531291
South Parkdale,1272,"9,583","35,207",43.6378784179714,-79.432540893513
South Riverdale,1949,"3,136","53,803",43.6654704,-79.35259359999999
St.Andrew-Windfields,916,"2,430","100,516",43.756125, -79.385751
Steeles,687,"5,436","31,786",43.8161778,-79.3145378
Stonegate-Queensway,942,"3,199","64,140",43.63126,-79.48185699999999
Tam O'Shanter-Sullivan,1016,"5,073","34,200",43.780623,-79.299789
Taylor-Massey,853,"15,528","30,430",43.7240387,-79.2661943
The Beaches,853,"6,058","92,580",43.6710244,-79.296712
Thistletown-Beaumond Heights,612,"3,130","32,815",43.736096,-79.56727099999999
Thorncliffe Park,746,"6,787","28,875",43.704553000000004,-79.3454074
Trinity-Bellwoods,1217,"9,570","50,694",43.64756465,-79.4138809026667
University,1293,"5,395","50,757",43.652294,-79.388379
Victoria Village,594,"3,710","35,786",43.732658,-79.3111892
Waterfront Communities-The Island,5674,"8,943","70,600",43.641576,-79.377868
West Hill,2857,"2,856","33,323",43.7689144,-79.1872905
West Humber-Clairville,4338,"1,117","31,771",43.740890,-79.623479
Westminster-Branson,837,"7,339","32,724",43.784552,-79.449939
Weston,1410,"7,197","32,997",43.701076,-79.514816
Wexford/Maryvale,2350,"2,724","35,047",43.760181,-79.302278
Willowdale East,1867,"10,087","45,326",43.761509499999995,-79.4109234
Willowdale West,548,"5,820","44,576",43.761509499999995,-79.4109234
Willowridge-Martingrove-Richview,1081,"4,007","44,177",43.684300,-79.566219
Woburn,3158,"4,345","30,878",42.479261799999996,-71.1522766
Woodbine Corridor,648,"7,838","55,199",43.6984937,-79.30939479999999
Woodbine-Lumsden,434,"6,722","47,710",43.692828999999996,-79.31572249999999
Wychwood,623,"8,541","54,460",43.676851,-79.426257
Yonge-Eglinton,325,"7,162","89,330",43.706747899999996,-79.39832709999999
Yonge-St.Clair,234,"10,708","114,174",43.6882104,-79.39400359999999
York University Heights,3141,"2,086","29,958",43.764589,-79.478967
Yorkdale-Glen Park,1571,"2,451","38,527",43.7104338,-79.4533397364436
