Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude
Agincourt North,1008,"3,929","30,414",-79.2670669555129,43.8092994689717
Agincourt South-Malvern West,1331,"3,034","31,825",-79.2694091796129,43.7873497009717
Alderwood,460,"2,435","47,709",-79.541160583413,43.6049613952714
Annex,2908,"10,863","112,766",-79.402801513613,43.6693611145715
Banbury-Don Mills,938,"2,775","67,757",-79.348518371513,43.7404098510716
Bathurst Manor,951,"3,377","45,936",-79.454772949213,43.7637786865717
Bay Street Corridor,3564,"14,097","56,526",-79.386177062913,43.6577110290715
Bayview Village,798,"4,195","52,035",-79.379570007313,43.7770996093717
Bayview Woods-Steeles,428,"3,240","47,246",-79.382202148413,43.7948493957717
Bedford Park-Nortown,1135,"4,209","123,077",-79.424499511713,43.7306594848716
Beechborough-Greenbrook,615,"3,614","33,829",-79.478309631313,43.6931114196715
Bendale,2277,"4,011","33,256",-79.2573928833129,43.7596282958716
Birchcliffe-Cliffside,1411,"3,765","54,360",-79.2646026611129,43.6947212219715
Black Creek,2006,"6,282","25,989",-79.521499633713,43.7663612365717
Blake-Jones,425,"8,134","48,511",,
Briar Hill-Belgravia,1117,"7,791","34,768",-79.451248168913,43.6985206671595
Bridle Path-Sunnybrook-York Mills,420,"1,040","308,010",-79.380813598613,43.7273216247716
Broadview North,299,"6,764","44,557",-79.354286193813,43.6893692017158
Brookhaven-Amesbury,829,"5,045","32,483",-79.484649658213,43.7003097534715
Caledonia-Fairbank,328,"6,464","35,112",-79.4548263541301,43.6885681152715
Casa Loma,457,"5,683","165,047",-79.409492492613,43.6807785034715
Centennial Scarborough,311,"2,479","54,045",-79.1472396850129,43.7791213989717
Church-Yonge Corridor,6301,"23,044","53,583",-79.378677368113,43.6602401737153
Clairlea-Birchmount,2163,"3,632","36,232",-79.2836990356129,43.7159881597162
Clanton Park,735,"3,979","51,181",,
Cliffcrest,1014,"2,273","44,718",-79.2329711914129,43.7264213562716
Corso Italia-Davenport,818,"7,478","41,717",-79.450378417913,43.6769905090715
Danforth,1191,"8,554","55,225",-79.385437011713,43.6486892707151
Danforth East York,464,"7,881","51,846",-79.2901299095388,43.6907158290841
Don Valley Village,1285,"6,441","37,379",-79.350166320813,43.7855186467173
Dorset Park,1756,"4,146","31,692",-79.2774581909129,43.7553291327168
Dovercourt-Wallace Emerson-Junction,2450,"9,819","39,740",-79.436866760213,43.6660385131715
Downsview-Roding-CFB,2974,"2,337","34,168",-79.491363525313,43.7289199827164
Dufferin Grove,602,"8,540","40,588",-79.437309265113,43.6551399230715
East End-Danforth,1691,"8,038","54,324",-79.2991104125129,43.6841506958715
Edenbridge-Humber Valley,473,"2,840","101,551",-79.521263122513,43.6699104309715
Eglinton East,1804,"7,051","30,033",,
Elms-Old Rexdale,581,"3,306","32,012",-79.549560546813,43.7242889407163
Englemount-Lawrence,873,"6,466","48,134",-79.438117980913,43.7219200134716
Eringate-Centennial-West Deane,676,"2,171","47,002",-79.577377319313,43.6619110107715
Etobicoke West Mall,450,"6,582","38,255",-79.567718505813,43.6444511413715
Flemingdon Park,1001,"9,026","28,654",-79.3317108151299,43.7163085937162
Forest Hill North,568,"8,054","85,099",-79.427452087413,43.7052192687716
