Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Agincourt North,43.8092994689717,-79.2670669555129,Saravanaa Bhavan South Indian Restaurant,43.81011674776289,-79.26927478027933,Indian Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Menchie's,43.80833791536094,-79.26828825119229,Ice Cream Shop
Agincourt North,43.8092994689717,-79.2670669555129,Samosa King - Embassy Restaurant,43.81015178654958,-79.25731635003477,Indian Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Shoppers Drug Mart,43.808894,-79.269854,Pharmacy
Agincourt North,43.8092994689717,-79.2670669555129,Booster Juice,43.80991481104798,-79.26938167887475,Juice Bar
Agincourt North,43.8092994689717,-79.2670669555129,Congee Town 太皇名粥,43.80903482487377,-79.26763433869755,Chinese Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Dollarama,43.808894,-79.269854,Discount Store
Agincourt North,43.8092994689717,-79.2670669555129,Subway,43.80937220230191,-79.2694738316909,Sandwich Place
Agincourt North,43.8092994689717,-79.2670669555129,Tim Hortons,43.8099935,-79.2690319,Coffee Shop
Agincourt North,43.8092994689717,-79.2670669555129,TD Canada Trust,43.8098283,-79.2687635,Bank
Agincourt North,43.8092994689717,-79.2670669555129,The Beer Store,43.8092863,-79.2636758,Beer Store
Agincourt North,43.8092994689717,-79.2670669555129,Pizza Pizza,43.80831774036611,-79.26853687580636,Pizza Place
Agincourt North,43.8092994689717,-79.2670669555129,Popeyes Louisiana Kitchen,43.80865177635264,-79.2679286798945,Fried Chicken Joint
Agincourt North,43.8092994689717,-79.2670669555129,Tim Hortons,43.810537304435144,-79.25620727241039,Coffee Shop
Agincourt North,43.8092994689717,-79.2670669555129,Woodside Cinemas,43.80990026145251,-79.26952068181036,Movie Theater
Agincourt North,43.8092994689717,-79.2670669555129,Casa Deluz 豪門宴,43.80895542975194,-79.26811265646485,Dim Sum Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Wild Wing,43.80879900043356,-79.26780785019103,Wings Joint
Agincourt North,43.8092994689717,-79.2670669555129,Xe Lua Vietnamese Cuisine 火車頭,43.809224039056005,-79.26954724166934,Vietnamese Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Taco Bell,43.8098027509769,-79.26923274993896,Taco Place
Agincourt North,43.8092994689717,-79.2670669555129,Viterna Health Centre,43.81001583057128,-79.26898531284488,Spa
Agincourt North,43.8092994689717,-79.2670669555129,Cakewood Bakery & Cafe,43.80986005895067,-79.26953031570356,Bakery
